account_id,mrr,arr,seats_licensed,employee_count,tenure_days,days_until_renewal,mrr_per_seat,plan_tier_encoded,region_APAC,region_EMEA,avg_monthly_logins,avg_active_user_ratio,avg_feature_adoption_pct,avg_data_processed_gb,total_api_calls,has_api_integration,months_observed,login_trend_pct,logins_mom_change,total_tickets,avg_resolution_hours,avg_csat_score,pct_high_critical_tickets,tickets_last_90d,days_since_last_ticket,days_since_critical_ticket,ticket_velocity_ratio,last_nps_score,nps_trend,avg_nps_score,nps_response_count,churned
ACC-0001,770.43,9245.16,3,40,211,149,256.81,0,False,True,34.75,0.2498,0.1875,13.145,0.0,0.0,4.0,-0.208,-22.0,2.0,46.5,2.0,0.5,0.0,135.0,999.0,0.0,5.0,0.0,5.0,0.0,1
ACC-0002,590.53,7086.36,1,26,281,439,590.53,0,True,False,17.3333,0.0,0.3194,31.0822,0.0,0.0,9.0,-0.0702,3.0,7.0,92.429,4.0,0.143,3.0,52.0,181.0,1.285,7.0,0.0,7.33,3.0,0
ACC-0003,213.84,2566.08,3,48,565,155,71.28,0,False,True,46.5833,0.3887,0.4167,20.2292,0.0,0.0,12.0,0.2126,-3.0,22.0,12.136,3.944,0.545,4.0,12.0,149.0,0.727,5.0,-1.0,5.5,2.0,0
ACC-0004,2695.73,32348.76,7,38,930,-570,385.1,1,True,False,103.5833,0.7974,0.405,29.6642,0.0,0.0,12.0,0.0719,18.0,13.0,36.615,4.083,0.231,7.0,8.0,42.0,2.153,9.0,1.0,8.5,2.0,0
ACC-0005,10396.89,124762.68,72,3252,598,122,144.4,2,False,False,999.5,0.7282,0.3792,26.6142,70715.0,1.0,12.0,0.0758,-16.0,60.0,26.2,3.86,0.233,17.0,2.0,41.0,1.133,6.0,-1.0,6.33,3.0,0
ACC-0006,597.51,7170.12,2,38,566,154,298.76,0,False,False,21.75,0.5,0.4688,24.1292,0.0,0.0,12.0,0.0164,5.0,18.0,22.0,4.083,0.278,8.0,4.0,999.0,1.777,6.0,0.0,6.0,1.0,0
ACC-0007,756.0,9072.0,3,20,341,19,252.0,0,True,False,34.8182,0.667,0.4432,24.55,0.0,0.0,11.0,0.125,1.0,11.0,18.364,3.625,0.545,5.0,32.0,119.0,1.666,5.0,1.0,4.67,3.0,0
ACC-0008,2527.01,30324.12,17,160,928,-568,148.65,1,False,False,261.25,0.7895,0.6011,23.6842,0.0,0.0,12.0,-0.0546,-6.0,25.0,22.4,3.8,0.36,9.0,3.0,116.0,1.44,7.0,-1.0,7.5,2.0,0
ACC-0009,689.28,8271.36,1,45,468,-108,689.28,0,False,True,8.5,0.0,0.4583,29.75,0.0,0.0,12.0,0.12,1.0,7.0,23.857,3.833,0.0,2.0,41.0,999.0,1.142,4.0,-1.0,4.5,2.0,0
ACC-0010,21850.81,262209.72,31,1670,894,-174,704.86,2,False,False,814.0,0.8304,0.3375,20.3108,77943.0,1.0,12.0,0.103,-136.0,26.0,26.962,3.524,0.077,2.0,23.0,999.0,0.308,7.0,2.0,6.0,2.0,0
ACC-0011,1182.7,14192.4,18,231,592,128,65.71,1,True,False,342.9167,0.7915,0.232,24.1758,0.0,0.0,12.0,0.0059,-65.0,33.0,30.97,3.826,0.333,6.0,4.0,15.0,0.727,8.0,2.0,7.0,2.0,0
ACC-0012,215.25,2583.0,1,41,653,-293,215.25,0,False,False,11.8333,0.0,0.1667,24.9925,0.0,0.0,12.0,0.0909,1.0,14.0,34.786,3.636,0.214,6.0,6.0,19.0,1.714,6.0,-1.0,6.5,2.0,0
ACC-0013,446.23,5354.76,3,49,332,28,148.74,0,False,False,43.4,0.667,0.575,33.915,0.0,0.0,10.0,0.0952,-2.0,9.0,24.667,4.375,0.111,3.0,1.0,12.0,1.111,7.0,-1.0,7.33,3.0,0
ACC-0014,263.3,3159.6,4,31,420,-60,65.82,0,True,False,30.0,0.5312,0.1562,27.4325,0.0,0.0,8.0,-0.512,-15.0,10.0,28.5,2.5,0.4,0.0,173.0,239.0,0.0,0.0,-3.0,1.5,2.0,1
ACC-0015,690.81,8289.72,1,46,500,-140,690.81,0,False,False,17.0833,0.0,0.4375,29.6025,0.0,0.0,12.0,0.1739,-2.0,13.0,16.846,3.3,0.077,2.0,22.0,291.0,0.615,4.0,-2.0,5.5,4.0,0
ACC-0016,765.75,9189.0,2,16,202,158,382.88,0,False,False,17.3333,0.5,0.2708,26.1233,0.0,0.0,6.0,0.0,0.0,8.0,14.125,4.2,0.25,4.0,12.0,12.0,1.0,8.0,2.0,7.0,2.0,0
ACC-0017,498.35,5980.2,1,27,202,518,498.35,0,False,False,19.1667,0.0,0.375,19.0567,0.0,0.0,6.0,0.0175,-1.0,5.0,21.0,4.5,0.2,1.0,14.0,182.0,0.4,6.0,-1.0,6.5,2.0,0
ACC-0018,744.96,8939.52,3,21,505,-145,248.32,0,False,True,38.875,0.5001,0.1406,24.9238,0.0,0.0,8.0,-0.3862,-21.0,14.0,20.357,3.0,0.286,0.0,132.0,281.0,0.0,5.0,0.0,5.0,0.0,1
ACC-0019,1976.91,23722.92,24,148,600,-240,82.37,1,True,False,461.1667,0.4689,0.3156,17.32,0.0,0.0,12.0,0.1362,-5.0,32.0,26.969,3.357,0.344,4.0,4.0,270.0,0.5,8.0,-1.0,8.5,2.0,0
ACC-0020,3026.6,36319.2,7,223,435,-75,432.37,1,False,True,149.3333,0.5118,0.4704,30.8667,78875.0,1.0,12.0,-0.0408,-22.0,20.0,23.15,4.312,0.3,6.0,1.0,120.0,1.2,6.0,2.0,5.0,2.0,0
ACC-0021,614.56,7374.72,4,46,562,-202,153.64,0,False,True,48.0833,0.6042,0.1667,27.3592,0.0,0.0,12.0,0.0426,-4.0,11.0,37.364,4.25,0.091,2.0,17.0,999.0,0.727,9.0,1.0,8.33,3.0,0
ACC-0022,595.99,7151.88,2,9,91,629,298.0,0,True,False,33.0,0.5,0.5417,17.0567,0.0,0.0,3.0,0.0,-3.0,6.0,10.333,4.333,0.167,6.0,40.0,999.0,1.0,8.0,2.0,7.0,2.0,0
ACC-0023,17295.13,207541.56,28,3291,297,423,617.68,2,False,False,344.6667,0.6469,0.4722,25.4022,43236.0,1.0,9.0,0.1181,-61.0,37.0,23.297,3.839,0.216,11.0,6.0,207.0,0.892,9.0,2.0,7.75,4.0,0
ACC-0024,21869.5,262434.0,132,198,343,17,165.68,2,False,False,2109.3636,0.841,0.2818,30.3373,47725.0,1.0,11.0,0.0038,-465.0,55.0,24.382,3.571,0.273,12.0,20.0,20.0,0.8,6.0,-2.0,7.0,4.0,0
ACC-0025,9962.34,119548.08,129,4593,1046,-686,77.23,2,False,True,2126.9167,0.7564,0.6375,27.6683,66266.0,1.0,12.0,0.1799,-244.0,53.0,22.547,3.791,0.245,9.0,2.0,169.0,0.679,8.0,1.0,7.5,2.0,0
ACC-0026,647.89,7774.68,4,26,729,-369,161.97,0,False,True,28.0,0.5,0.2344,22.51,0.0,0.0,8.0,-0.5398,-15.0,7.0,9.429,2.5,0.571,0.0,162.0,340.0,0.0,6.0,0.0,6.0,1.0,1
ACC-0027,346.39,4156.68,2,37,372,-12,173.2,0,True,False,21.0,0.4167,0.5729,31.4025,0.0,0.0,12.0,0.0847,-4.0,11.0,14.636,3.889,0.273,2.0,40.0,999.0,0.727,9.0,0.0,9.0,4.0,0
ACC-0028,2376.06,28512.72,9,244,636,84,264.01,1,False,False,137.4286,0.2697,0.2959,21.4057,0.0,0.0,7.0,-0.5605,-67.0,9.0,27.889,1.889,0.111,0.0,227.0,331.0,0.0,5.0,0.0,5.0,1.0,1
